season,teams,rounds,scoring_type,slots_qb,slots_rb,slots_wr,slots_te,slots_flex,slots_k,slots_def,slots_bn,fold,train_drafts,test_drafts,known_pick_coverage,strategy,n,log_loss,multiclass_brier,top1_accuracy,top5_accuracy,ici,e50,e90,emax,calibration_intercept,calibration_slope
2020,10,15,ppr,1,2,2,1,2,1,1,5,50,50,42,0.9853641933287951,run_aware,5790.0,3.584842213654906,0.9983311824957162,0.15008635578583765,0.48739205526770296,0.004893886794559808,0.002485478074064032,0.002485478074064032,0.9201334488316915,-1.0498298113056732,0.697095271108848
2020,10,15,ppr,1,2,2,1,2,1,1,5,50,50,42,0.9853641933287951,next_turn_aware,5790.0,3.5923749034410255,1.0004011016585073,0.13557858376511225,0.48721934369602765,0.004893314141228732,0.002484072527290323,0.002484072527290323,0.9189785011157797,-1.0767812331084634,0.6899060229608374
2020,10,15,ppr,1,2,2,1,2,1,1,5,50,50,42,0.9853641933287951,roster_plus_run,5790.0,3.504782865007979,0.9899877071013421,0.1699481865284974,0.5084628670120898,0.004370042222426991,0.002224617401380368,0.002224617401380368,0.9262119881181062,-0.8726052667346704,0.7443732611065301
2020,10,15,ppr,1,2,2,1,2,1,1,5,50,50,42,0.9853641933287951,roster_plus_next_turn,5790.0,3.5028680460019506,0.9915394810168545,0.16424870466321242,0.5134715025906735,0.004223567404992621,0.002151065691688863,0.002151065691688863,0.9284649468687168,-0.8812614787658897,0.7418851575059625
2020,10,15,ppr,1,2,2,1,2,1,1,5,50,50,42,0.9853641933287951,opponent_aware,5790.0,3.49576904968399,0.9906070250564868,0.1694300518134715,0.515371329879102,0.004299925791109827,0.0021911567914628637,0.0021911567914628637,0.9291832501148193,-0.8810211229754449,0.7411494200469998
2020,12,15,ppr,1,2,2,1,2,1,1,5,50,50,2,0.9056047197640118,adp_only,307.0,5.70636074564328,1.0788668167925015,0.05537459283387622,0.18566775244299674,0.014146727048038975,0.007380776154835933,0.007380776154835933,0.63311592910222,-4.2743626116196705,-0.06820038112560588
2020,12,15,ppr,1,2,2,1,2,1,1,5,50,50,2,0.9056047197640118,position_baseline,307.0,5.727320644682935,1.0811865681728567,0.05537459283387622,0.18566775244299674,0.01431555710013188,0.007477971978495078,0.007477971978495078,0.6399047120873432,-4.23656056232253,-0.06105235880731023
2020,12,15,ppr,1,2,2,1,2,1,1,5,50,50,2,0.9056047197640118,roster_aware,307.0,5.563666171643351,1.0786189922087304,0.05863192182410423,0.20521172638436483,0.014013360840731586,0.00730872112062789,0.00730872112062789,0.7442774629702048,-3.9782942339691973,-0.01496200277942434
2020,12,15,ppr,1,2,2,1,2,1,1,5,50,50,2,0.9056047197640118,run_aware,307.0,5.706926725439932,1.0791512024930754,0.05537459283387622,0.18892508143322476,0.0140300871506456,0.007344283207907738,0.007344283207907738,0.6753790771511993,-4.183620730035577,-0.0516085579062357
2020,12,15,ppr,1,2,2,1,2,1,1,5,50,50,2,0.9056047197640118,next_turn_aware,307.0,5.7637776285267535,1.0846018957804495,0.05537459283387622,0.18566775244299674,0.014564649798538927,0.007574166758915316,0.007574166758915316,0.7044691670722849,-4.224960326963674,-0.05859322766903588
