season,teams,scoring_type,fold,strategy,feature,coefficient
2020,12,half_ppr,50,opponent_aware,market_rank,6.638813755170872
2020,12,half_ppr,50,opponent_aware,starter_need,-0.6811336461065802
2020,12,half_ppr,50,opponent_aware,roster_count,2.4428969596289782
2020,12,half_ppr,50,opponent_aware,recent_position_run,0.6899812667870628
2020,12,half_ppr,50,opponent_aware,next_turn_demand,-0.3851528684257205
2020,12,half_ppr,50,opponent_aware,next_turn_competition,-0.36649338495604367
2020,12,half_ppr,50,opponent_aware,starter_need_late,3.7166415244308877
2020,12,half_ppr,50,opponent_aware,QB,-0.1970971386551634
2020,12,half_ppr,50,opponent_aware,RB,0.4311786105240437
2020,12,half_ppr,50,opponent_aware,WR,0.4113955683965585
2020,12,half_ppr,50,opponent_aware,TE,-0.13457796977205094
2020,12,half_ppr,50,opponent_aware,K,-0.5108990704953897
2020,12,ppr,50,adp_only,market_rank,2.156608058606238
2020,12,ppr,50,position_baseline,market_rank,2.1805528178329934
2020,12,ppr,50,position_baseline,QB,-0.1351485314978894
2020,12,ppr,50,position_baseline,RB,-0.04617331492167736
2020,12,ppr,50,position_baseline,WR,-0.05745625358225572
2020,12,ppr,50,position_baseline,TE,-0.14397845428973652
2020,12,ppr,50,position_baseline,K,0.3827565542944896
2020,12,ppr,50,roster_aware,market_rank,2.1152591831038237
2020,12,ppr,50,roster_aware,starter_need,-0.4583013892227485
2020,12,ppr,50,roster_aware,roster_count,1.3348344100198568
2020,12,ppr,50,roster_aware,starter_need_late,3.1543796965526454
2020,12,ppr,50,roster_aware,QB,-0.08264923683599693
2020,12,ppr,50,roster_aware,RB,0.3382570163987557
2020,12,ppr,50,roster_aware,WR,0.3197657573986009
2020,12,ppr,50,roster_aware,TE,-0.15594961961946413
2020,12,ppr,50,roster_aware,K,-0.41942391734020784
2020,12,ppr,50,run_aware,market_rank,2.2066698191976917
2020,12,ppr,50,run_aware,recent_position_run,0.9165286870078332
2020,12,ppr,50,run_aware,QB,-0.06259623457629422
2020,12,ppr,50,run_aware,RB,-0.1783636820676283
2020,12,ppr,50,run_aware,WR,-0.21954319017043455
2020,12,ppr,50,run_aware,TE,-0.07425480827974093
2020,12,ppr,50,run_aware,K,0.5347579150969729
2020,12,ppr,50,next_turn_aware,market_rank,2.167736622531636
2020,12,ppr,50,next_turn_aware,next_turn_demand,0.13478329576627593
2020,12,ppr,50,next_turn_aware,next_turn_competition,0.21727081118771538
2020,12,ppr,50,next_turn_aware,QB,-0.11507626498649201
2020,12,ppr,50,next_turn_aware,RB,-0.022171505068490555
2020,12,ppr,50,next_turn_aware,WR,-0.03766802442090159
2020,12,ppr,50,next_turn_aware,TE,-0.15626573170711877
2020,12,ppr,50,next_turn_aware,K,0.3311815261859303
2020,12,ppr,50,roster_plus_run,market_rank,2.1398237117827623
2020,12,ppr,50,roster_plus_run,starter_need,-0.37587121751684965
2020,12,ppr,50,roster_plus_run,roster_count,1.225177086627073
2020,12,ppr,50,roster_plus_run,recent_position_run,0.8132868576538662
2020,12,ppr,50,roster_plus_run,starter_need_late,2.9639640636720994
2020,12,ppr,50,roster_plus_run,QB,-0.012836358723051403
2020,12,ppr,50,roster_plus_run,RB,0.20869084895808462
2020,12,ppr,50,roster_plus_run,WR,0.16465624044049962
2020,12,ppr,50,roster_plus_run,TE,-0.08786027466197421
2020,12,ppr,50,roster_plus_run,K,-0.2726504560117116
2020,12,ppr,50,roster_plus_next_turn,market_rank,2.127473792184328
2020,12,ppr,50,roster_plus_next_turn,starter_need,-0.44607304625738603
2020,12,ppr,50,roster_plus_next_turn,roster_count,1.2814606613150397
2020,12,ppr,50,roster_plus_next_turn,next_turn_demand,-0.3142921610601646
2020,12,ppr,50,roster_plus_next_turn,next_turn_competition,-0.10870464967899567
2020,12,ppr,50,roster_plus_next_turn,starter_need_late,3.2630054777700908
2020,12,ppr,50,roster_plus_next_turn,QB,-0.11455411740438287
2020,12,ppr,50,roster_plus_next_turn,RB,0.3050735538021776
2020,12,ppr,50,roster_plus_next_turn,WR,0.2911446274373696
2020,12,ppr,50,roster_plus_next_turn,TE,-0.152131122871897
2020,12,ppr,50,roster_plus_next_turn,K,-0.32953294096157726
2020,12,ppr,50,opponent_aware,market_rank,2.1536117953226133
2020,12,ppr,50,opponent_aware,starter_need,-0.3617498348380617
2020,12,ppr,50,opponent_aware,roster_count,1.1664608116196313
2020,12,ppr,50,opponent_aware,recent_position_run,0.8215619551452406
2020,12,ppr,50,opponent_aware,next_turn_demand,-0.3577819428933205
2020,12,ppr,50,opponent_aware,next_turn_competition,-0.09786618585605292
2020,12,ppr,50,opponent_aware,starter_need_late,3.0752623428775316
2020,12,ppr,50,opponent_aware,QB,-0.04593278870699063
2020,12,ppr,50,opponent_aware,RB,0.17114271671223036
2020,12,ppr,50,opponent_aware,WR,0.13190586579199456
2020,12,ppr,50,opponent_aware,TE,-0.08286634925758303
2020,12,ppr,50,opponent_aware,K,-0.17424944453920493
2021,10,ppr,50,adp_only,market_rank,5.384962617285025
2021,10,ppr,50,position_baseline,market_rank,5.444444687034886
2021,10,ppr,50,position_baseline,QB,-0.012562488978108135
2021,10,ppr,50,position_baseline,RB,-0.07112124495330152
2021,10,ppr,50,position_baseline,WR,0.05288259439665095
2021,10,ppr,50,position_baseline,TE,0.05534203366300426
2021,10,ppr,50,position_baseline,K,-0.02454089412746556
2021,10,ppr,50,roster_aware,market_rank,5.423653907733181
2021,10,ppr,50,roster_aware,starter_need,-1.1415677381845202
2021,10,ppr,50,roster_aware,roster_count,1.5101409515089297
